profile,n,rho,d,seed,l1_tail_error,max_tail_error,jobs_per_server_error
paper,100,0.5,1,1737,0.012764973957423835,0.002835000000000004,0.012193333332423784
paper,100,0.5,1,1738,0.023136666665757203,0.004838333333333333,0.0231366666657572
paper,100,0.5,2,1729,0.004358649554202915,0.0021083333333332954,0.004358648622880268
paper,100,0.5,2,1730,0.0011246847104529982,0.00040333333333336663,0.0004663513771195893
paper,100,0.5,2,1731,0.0035919828875362173,0.0014816666666666312,0.0035919819562136857
paper,100,0.5,2,1732,0.0016803162208695903,0.0010849999999999749,0.0014103152895470483
paper,100,0.5,2,1733,0.0048863513771196,0.0021699999999999775,0.004868648622880389
paper,100,0.5,2,1734,0.004886351377119584,0.002586666666666626,0.004881981956213588
paper,100,0.5,2,1735,0.00792364955420294,0.003510000000000013,0.00792364862288042
paper,100,0.5,2,1736,0.002056982887536305,0.0014383333333333193,0.0020569819562137326
paper,100,0.5,2,1737,0.005600316220869647,0.00275000000000003,0.0055713513771196155
paper,100,0.5,2,1738,0.004901982887536281,0.0030716666666666392,0.004671351377119604
paper,100,0.7,1,1729,0.03856154736379218,0.0040410000000000446,0.03742166666859692
paper,100,0.7,1,1730,0.019249999998069346,0.002522333333333293,0.018776666664736208
paper,100,0.7,1,1731,0.016203295176352606,0.002430379465666677,0.01492500000193031
paper,100,0.7,1,1732,0.012960784432891264,0.002158333333333262,0.002373333335263794
paper,100,0.7,1,1733,0.06658904671076632,0.005388333333333384,0.0665883333352637
paper,100,0.7,1,1734,0.02102926192451985,0.004145000000000065,0.018055000001930388
paper,100,0.7,1,1735,0.039713587910887825,0.00390000000000007,0.03968833333526378
paper,100,0.7,1,1736,0.05896100693607011,0.006910000000000083,0.04868833333526368
paper,100,0.7,1,1737,0.02641195371113751,0.004148333333333393,0.02395666666859686
paper,100,0.7,1,1738,0.025201161048456915,0.00371999999999989,0.019699999998069817
paper,100,0.7,2,1729,0.006782361126105178,0.0025366666666667426,0.006782360777602081
paper,100,0.7,2,1730,0.0025806944594383907,0.0013423666666667056,0.0011506941109356017
paper,100,0.7,2,1731,0.0066190277927718755,0.002722366666666698,0.006619027444268788
paper,100,0.7,2,1732,0.003479027792771884,0.0017573666666667043,0.0034790274442686453
paper,100,0.7,2,1733,0.019970694459438512,0.007721666666666738,0.01997069411093544
paper,100,0.7,2,1734,0.011465694459438546,0.00446070000000004,0.011465694110935676
paper,100,0.7,2,1735,0.016112361126105208,0.006453333333333422,0.01611236077760192
paper,100,0.7,2,1736,0.01643569445943853,0.006205000000000072,0.016435694110935373
paper,100,0.7,2,1737,0.004779027792771854,0.002192366666666709,0.004779027444268946
paper,100,0.7,2,1738,0.008504182869178475,0.004358333333333242,0.007839305889064674
paper,100,0.9,1,1729,0.1670981251299683,0.004406433333333237,0.15004333334164777
paper,100,0.9,1,1730,0.24793448498301554,0.009426494899367394,0.23980166667498182
paper,100,0.9,1,1731,0.1994046213617598,0.009603742117056585,0.10375666667498251
paper,100,0.9,1,1732,0.13509776765699533,0.004561010868487578,0.028713333341647385
paper,100,0.9,1,1733,0.391894226270836,0.017456433333333243,0.2884416666749825
paper,100,0.9,1,1734,0.31662633332501694,0.011313505100632615,0.29367833332501725
paper,100,0.9,1,1735,0.27449718480736196,0.009248999999999952,0.26832500000831594
paper,100,0.9,1,1736,0.5264320358138236,0.022984456666666542,0.5113116666749828
paper,100,0.9,1,1737,0.4827335622120006,0.02074508383376661,0.4583533333416483
paper,100,0.9,1,1738,0.2900955376416881,0.0071897370030400976,0.1054949999916861
paper,100,0.9,2,1729,0.02912836041280586,0.008812201238684259,0.029128360408511966
paper,100,0.9,2,1730,0.043163360412805746,0.015497201238684255,0.043163360408511764
paper,100,0.9,2,1731,0.029790027079472432,0.011532957552305392,0.02979002707517875
paper,100,0.9,2,1732,0.026886693746139154,0.01118462421897206,0.02688669374184549
paper,100,0.9,2,1733,0.06281002707947253,0.019033867905350943,0.0628100270751788
paper,100,0.9,2,1734,0.05395169374613916,0.01871220123868425,0.053951693741845386
paper,100,0.9,2,1735,0.03155002707947248,0.012378867905350921,0.03155002707517873
paper,100,0.9,2,1736,0.12158169374613904,0.03787386790535094,0.12158169374184524
paper,100,0.9,2,1737,0.036415027079472376,0.013046290885638724,0.03641502707517841
paper,100,0.9,2,1738,0.017585493746139557,0.005767957552305393,0.0011916937418452456
paper,200,0.5,1,1729,0.004332903644923894,0.0013083333333333558,0.004289166667576172
paper,200,0.5,1,1730,0.0034143749990904904,0.001386666666666675,0.0033383333324238373
paper,200,0.5,1,1731,0.0020366951488301516,0.0008525000000000338,0.0016883333342430085
paper,200,0.5,1,1732,0.002869999999090533,0.00042458333333333324,0.0005733333324238199
paper,200,0.5,1,1733,0.005363333332423842,0.0018183333333333107,0.004553333334242904
paper,200,0.5,1,1734,0.0030544254548196684,0.0007933333333333265,0.0030441666675762313
paper,200,0.5,1,1735,0.009089166665757174,0.0014758333333333429,0.009089166665757209
paper,200,0.5,1,1736,0.014537620340073616,0.004164166666666691,0.014536666667576137
paper,200,0.5,1,1737,0.0019447916657571568,0.00039833333333333387,0.00023000000090944717
paper,200,0.5,1,1738,0.004794999999090532,0.0006708333333333427,0.004794999999090499
paper,200,0.5,2,1729,0.000918851377119552,0.00045083333333328923,0.0009094819562135426
paper,200,0.5,2,1730,0.0004919828875362889,0.00035000000000001696,0.0002080180437862289
paper,200,0.5,2,1731,0.0014153162208695896,0.0008733333333332816,0.0005736486228803406
