experiment,scenario,controller,n,delay_bins,service_model,metric,mean,median,ci95_low,ci95_high,seeds,total_seeds
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,1,empirical,mean_wait,11534.664308431647,10578.136968980538,9769.547828735429,13432.613493349752,10,10
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,1,empirical,p95_wait,51358.99577082803,49573.78306224958,47417.403548256,55999.265273071265,10,10
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,1,empirical,p99_wait,67069.10244409053,67570.28147382103,63482.544672233256,70847.92517975802,10,10
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,1,empirical,mean_response,11581.869182316626,10623.888816722743,9816.222429848436,13480.007976909348,10,10
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,1,empirical,p95_response,51412.18019475242,49629.874777787634,47471.03277001867,56055.11089294688,10,10
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,1,empirical,mean_resource_fraction,0.12371527777777777,0.12371527777777779,0.12371527777777777,0.12371527777777777,10,10
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,1,empirical,slo_violation_fraction,0.44572765225487243,0.45121228956781345,0.41944918850578383,0.4693194156317614,10,10
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,1,empirical,overload_fraction,0.017361111111111112,0.017361111111111112,0.017361111111111112,0.017361111111111112,10,10
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,2,empirical,mean_wait,11403.504260107,10903.836161035177,10156.726226748438,12831.230770001128,10,10
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,2,empirical,p95_wait,50043.80272917509,47833.01494092612,46015.81845875903,54315.874748504844,10,10
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,2,empirical,p99_wait,67311.8669405733,66818.2704475196,60450.09277741289,74263.35091630681,10,10
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,2,empirical,mean_response,11450.709133991984,10953.206334242423,10204.169191830088,12878.08277184683,10,10
