profile,config_id,experiment,scenario,controller,seed,n,delay_bins,service_model,jobs,metric_status,metric_reason,mean_wait,mean_response,p95_wait,p99_wait,p95_response,mean_resource_fraction,server_time_resource_cost,scaling_actions,mean_absolute_target_change,overload_fraction,slo_violation_fraction
paper,paper,primary,high_volume,seasonal_mf_mpc,1735,100,1,empirical,720000,ok,,136478.6554905645,136482.2744856154,302572.5282736049,311327.75882940914,302572.8372581752,0.2924305555555556,2526600.0,93,5.630662020905923,0.2430555555555555,0.7409902777777778
paper,paper,primary,high_volume,ewma_mf_mpc,1735,100,1,empirical,720000,ok,,3740.9975549676697,3744.616550018593,15323.248559142954,22170.77494744384,15324.971539773407,0.2735416666666667,2363400.0,105,4.118466898954704,0.1736111111111111,0.7149333333333333
paper,paper,primary,high_volume,gp_mean_mf_mpc,1735,100,1,empirical,720000,ok,,7265.675167124481,7269.2941621754035,30804.935572304035,43534.53703815887,30807.527189892066,0.3834722222222222,3313200.0,103,1.9372822299651569,0.2361111111111111,0.5778305555555555
paper,paper,primary,high_volume,gp_ucb_mf_mpc,1735,100,1,empirical,720000,ok,,356.00927130328563,359.6282663542091,1992.9735555392665,6202.691771330675,2009.8281271793803,0.7580208333333333,6549300.0,108,3.4111498257839723,0.1458333333333333,0.2814152777777777
paper,paper,primary,high_volume,oracle_mf_mpc,1735,100,1,empirical,720000,ok,,447.0118878451234,450.6308828960469,2574.4595447494094,6944.916243103566,2580.501953076568,0.2814930555555556,2432100.0,98,6.02787456445993,0.1805555555555555,0.3995944444444444
paper,paper,primary,high_volume,static,1736,100,1,empirical,720000,ok,,118.61157132781736,122.16633364953292,532.6260294623661,2515.7463168796057,544.9604506391953,1.0,8640000.0,0,0.0,0.1215277777777777,0.2414555555555555
paper,paper,primary,high_volume,reactive,1736,100,1,empirical,720000,ok,,7977.121763043716,7980.676525365433,29165.464860523603,40214.09507039823,29166.31615207838,0.2733680555555555,2361900.0,77,4.808362369337979,0.1736111111111111,0.7902583333333333
paper,paper,primary,high_volume,seasonal_mf_mpc,1736,100,1,empirical,720000,ok,,132468.01892609784,132471.57368841956,304497.348352468,309415.22790152783,304497.98590232147,0.2924305555555556,2526600.0,93,5.630662020905923,0.2430555555555555,0.7393625
paper,paper,primary,high_volume,ewma_mf_mpc,1736,100,1,empirical,720000,ok,,3036.828931171651,3040.383693493366,15280.019272050991,21408.464096428263,15284.601999093064,0.2735416666666667,2363400.0,105,4.118466898954704,0.1736111111111111,0.6449166666666667
paper,paper,primary,high_volume,gp_mean_mf_mpc,1736,100,1,empirical,720000,ok,,7083.506489845792,7087.061252167508,31844.476008833983,40396.71330908503,31848.22821178616,0.3834722222222222,3313200.0,103,1.9372822299651569,0.2361111111111111,0.5717333333333333
paper,paper,primary,high_volume,gp_ucb_mf_mpc,1736,100,1,empirical,720000,ok,,330.7893780502424,334.344140371958,1928.422598757328,5967.206201210781,1944.261492795816,0.7580208333333333,6549300.0,108,3.4111498257839723,0.1458333333333333,0.2788597222222222
