scenario,controller,alpha,validation_resource_fraction,reference_budget,selection_source
high_volume,ewma_mf_mpc,1.0,0.6202236024844721,0.5220372670807454,validation_alpha_search
high_volume,ewma_mf_mpc,1.333521432163324,0.6091925465838509,0.5220372670807454,validation_alpha_search
high_volume,ewma_mf_mpc,3.0,0.5807950310559007,0.5220372670807454,validation_alpha_search
high_volume,ewma_mf_mpc,5.623413251903491,0.5625217391304348,0.5220372670807454,validation_alpha_search
high_volume,ewma_mf_mpc,23.71373705661655,0.5346708074534161,0.5220372670807454,validation_alpha_search
high_volume,ewma_mf_mpc,100.0,0.5231428571428571,0.5220372670807454,validation_alpha_search
high_volume,gp_mean_mf_mpc,0.001,0.9934534161490682,0.5220372670807454,validation_alpha_search
high_volume,gp_mean_mf_mpc,0.004216965034285823,0.9930434782608696,0.5220372670807454,validation_alpha_search
high_volume,gp_mean_mf_mpc,0.01,0.9925217391304347,0.5220372670807454,validation_alpha_search
high_volume,gp_mean_mf_mpc,0.01778279410038923,0.8774906832298137,0.5220372670807454,validation_alpha_search
high_volume,gp_mean_mf_mpc,0.03,0.6473291925465838,0.5220372670807454,validation_alpha_search
high_volume,gp_mean_mf_mpc,0.07498942093324558,0.5240621118012423,0.5220372670807454,validation_alpha_search
high_volume,gp_mean_mf_mpc,0.1,0.49219875776397515,0.5220372670807454,validation_alpha_search
high_volume,gp_mean_mf_mpc,0.3,0.37632298136645964,0.5220372670807454,validation_alpha_search
high_volume,gp_mean_mf_mpc,0.31622776601683794,0.371639751552795,0.5220372670807454,validation_alpha_search
high_volume,gp_mean_mf_mpc,1.0,0.2743726708074534,0.5220372670807454,validation_alpha_search
high_volume,gp_mean_mf_mpc,1.333521432163324,0.25459627329192547,0.5220372670807454,validation_alpha_search
high_volume,gp_mean_mf_mpc,3.0,0.20939130434782607,0.5220372670807454,validation_alpha_search
high_volume,gp_mean_mf_mpc,5.623413251903491,0.1835776397515528,0.5220372670807454,validation_alpha_search
high_volume,gp_mean_mf_mpc,23.71373705661655,0.14982608695652172,0.5220372670807454,validation_alpha_search
high_volume,gp_mean_mf_mpc,100.0,0.13735403726708076,0.5220372670807454,validation_alpha_search
high_volume,gp_mean_mf_mpc,0.08659643233600653,0.5071925465838509,0.5220372670807454,validation_alpha_refinement
